productThirdItem,productName,productColor,productColorFamily,productLot,productQuantity,productE1,productYarnWeight,productInstall,productPrice
273302000.182108.7BM0867,A CUT ABOVE.2733    ,CUSTOM 258342 038.18,BLUE 2         ,1V7401.5    ,583.63,7274046867G11B001        ,24,9,14
273302500.182392.7SM0788,A CUT ABOVE.2733    ,CUSTOM 260049 009.18,PURPLE 2       ,1W2723.5    ,466.44,7274056788G15S001        ,24,9,14
